mx_center 	 my_center 	 mz_center 	 Acc_X 	 Acc_Y 	 Acc_Z 	 Gcc_X 	 Gcc_Y 	 Gcc_Z 	 Mcc_X 	 Mcc_Y 	 Mcc_Z 	 heading 	 tiltheading 	 temper 	 pres 	 atm 	 alt
0.00 	0.00 	0.00 	0.02 	0.06 	1.13 	-3.13 	1.91 	-2.13 	17.58 	-0.88 	-3.22 	357.14 	357.66 	24.07 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.13 	0.26 	-0.09 	0.73 	17.87 	-0.29 	-4.10 	359.06 	359.73 	24.06 	101567.00 	1.00 	-20.13 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.14 	17.44 	2.49 	-1.12 	18.46 	-1.46 	-3.81 	355.46 	356.05 	24.03 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.01 	0.04 	1.14 	-1.55 	-0.07 	0.96 	18.16 	-0.88 	-3.81 	357.23 	357.74 	24.01 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.02 	0.06 	1.13 	-3.64 	-0.13 	-0.69 	19.04 	0.29 	-3.52 	0.88 	1.39 	23.97 	101567.00 	1.00 	-20.13 	
0.00 	0.00 	0.00 	0.04 	0.03 	1.13 	0.33 	0.08 	0.76 	20.21 	-0.59 	-2.64 	358.34 	358.51 	23.91 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.13 	1.24 	0.12 	-0.30 	20.51 	-1.17 	-2.64 	356.73 	356.93 	23.83 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.13 	-5.61 	-0.63 	1.65 	19.63 	-1.17 	-2.93 	356.58 	356.87 	23.80 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.47 	-0.18 	0.66 	20.51 	-0.59 	-2.64 	358.36 	358.65 	23.78 	101566.00 	1.00 	-20.04 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.14 	0.31 	-0.08 	0.60 	20.51 	-0.29 	-2.93 	359.18 	359.52 	23.77 	101568.00 	1.00 	-20.21 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.13 	0.30 	-0.02 	0.65 	20.51 	-1.17 	-2.34 	356.73 	357.01 	23.75 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.31 	-0.27 	0.56 	20.51 	-1.17 	-3.22 	356.73 	357.10 	23.75 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.26 	0.24 	0.63 	20.21 	-0.88 	-2.34 	357.51 	357.76 	23.75 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.47 	0.07 	0.40 	20.21 	-0.59 	-2.93 	358.34 	358.68 	23.74 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.37 	-0.01 	0.90 	20.51 	-0.88 	-2.64 	357.55 	357.84 	23.73 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.08 	0.09 	0.72 	20.21 	-0.88 	-2.34 	357.51 	357.77 	23.72 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.14 	0.20 	0.20 	0.50 	20.51 	-0.88 	-2.34 	357.55 	357.81 	23.72 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.12 	0.43 	-0.08 	0.79 	20.21 	-0.88 	-2.64 	357.51 	357.81 	23.70 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.04 	0.06 	1.13 	0.36 	-0.02 	0.51 	20.51 	-0.88 	-2.34 	357.55 	357.81 	23.70 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.47 	-0.11 	0.74 	19.92 	-1.17 	-2.05 	356.63 	356.86 	23.69 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.24 	-0.05 	0.60 	21.09 	-0.29 	-2.34 	359.20 	359.45 	23.69 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.13 	0.30 	-0.24 	0.87 	20.21 	-0.88 	-2.64 	357.51 	357.84 	23.68 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.24 	-0.22 	0.78 	19.92 	-1.17 	-2.64 	356.63 	356.96 	23.68 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.16 	0.30 	0.70 	21.09 	-1.17 	-2.64 	356.82 	357.11 	23.68 	101564.00 	1.00 	-19.88 	
